,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
62,0.12,50,7,0.8,1.05,0,0.05,1.1,1.605263157894737,0.8417613458037788
63,0.12,50,7,0.8,1.05,0.025,0,1,1.605263157894737,0.8383968363567886
64,0.12,50,7,0.8,1.05,0.025,0,1.05,1.605263157894737,0.8327788588286987
65,0.12,50,7,0.8,1.05,0.025,0,1.1,1.605263157894737,0.8417487916640513
66,0.12,50,7,0.8,1.05,0.025,0.025,1,1.605263157894737,0.8395141547925428
67,0.12,50,7,0.8,1.05,0.025,0.025,1.05,1.605263157894737,0.8350197727700709
68,0.12,50,7,0.8,1.05,0.025,0.025,1.1,1.605263157894737,0.8383968363567886
69,0.12,50,7,0.8,1.05,0.025,0.05,1,1.605263157894737,0.8372857949908983
70,0.12,50,7,0.8,1.05,0.025,0.05,1.05,1.605263157894737,0.8305379448873266
71,0.12,50,7,0.8,1.05,0.025,0.05,1.1,1.605263157894737,0.8350260498399347
72,0.12,50,7,0.8,1.05,0.05,0,1,1.605263157894737,0.837260686711443
73,0.12,50,7,0.8,1.05,0.05,0,1.05,1.605263157894737,0.8395141547925429
74,0.12,50,7,0.8,1.05,0.05,0,1.1,1.605263157894737,0.833896177264453
75,0.12,50,7,0.8,1.05,0.05,0.025,1,1.605263157894737,0.8395141547925429
76,0.12,50,7,0.8,1.05,0.05,0.025,1.05,1.605263157894737,0.8339024543343168
77,0.12,50,7,0.8,1.05,0.05,0.025,1.1,1.605263157894737,0.8350260498399348
78,0.12,50,7,0.8,1.05,0.05,0.05,1,1.605263157894737,0.8339087314041805
79,0.12,50,7,0.8,1.05,0.05,0.05,1.05,1.605263157894737,0.8350197727700709
80,0.12,50,7,0.8,1.05,0.05,0.05,1.1,1.605263157894737,0.8316678174628084
