,learning_rate,n_estimators,max_depth,subsample,min_child_weight,gamma,reg_alpha,reg_lambda,scale_pos_weight,accuracy
0,0.99,50,5,0.5,,,,,1.605263157894737,0.7991023790094783
1,0.99,50,5,0.6,,,,,1.605263157894737,0.8058376749733225
2,0.99,50,5,0.7,,,,,1.605263157894737,0.8036030381018141
3,0.99,50,5,0.8,,,,,1.605263157894737,0.7980038917833155
4,0.99,50,5,0.9,,,,,1.605263157894737,0.8058188437637311
5,0.99,50,6,0.5,,,,,1.605263157894737,0.7845207457158998
6,0.99,50,6,0.6,,,,,1.605263157894737,0.7912434875400163
7,0.99,50,6,0.7,,,,,1.605263157894737,0.7968551879982424
8,0.99,50,6,0.8,,,,,1.605263157894737,0.8080785889146946
9,0.99,50,6,0.9,,,,,1.605263157894737,0.809221015629904
10,0.99,50,7,0.5,,,,,1.605263157894737,0.7822610005649363
11,0.99,50,7,0.6,,,,,1.605263157894737,0.7901324461741259
12,0.99,50,7,0.7,,,,,1.605263157894737,0.795744146632352
13,0.99,50,7,0.8,,,,,1.605263157894737,0.8114493754315486
14,0.99,50,7,0.9,,,,,1.605263157894737,0.8035842068922228
15,0.99,100,5,0.5,,,,,1.605263157894737,0.7934718473416609
16,0.99,100,5,0.6,,,,,1.605263157894737,0.8069738246186681
17,0.99,100,5,0.7,,,,,1.605263157894737,0.7934906785512523
18,0.99,100,5,0.8,,,,,1.605263157894737,0.797991337643588
19,0.99,100,5,0.9,,,,,1.605263157894737,0.806942439269349
20,0.99,100,6,0.5,,,,,1.605263157894737,0.784514468646036
21,0.99,100,6,0.6,,,,,1.605263157894737,0.8024982738057874
22,0.99,100,6,0.7,,,,,1.605263157894737,0.7923608059757705
23,0.99,100,6,0.8,,,,,1.605263157894737,0.8148076078086749
24,0.99,100,6,0.9,,,,,1.605263157894737,0.8125980792166216
25,0.99,100,7,0.5,,,,,1.605263157894737,0.7856568953612454
26,0.99,100,7,0.6,,,,,1.605263157894737,0.7833783190006904
27,0.99,100,7,0.7,,,,,1.605263157894737,0.7957504237022158
28,0.99,100,7,0.8,,,,,1.605263157894737,0.8136902893729208
29,0.99,100,7,0.9,,,,,1.605263157894737,0.8092021844203126
30,0.1,50,5,0.5,,,,,1.605263157894737,0.8294080723118449
31,0.1,50,5,0.6,,,,,1.605263157894737,0.8350260498399347
32,0.1,50,5,0.7,,,,,1.605263157894737,0.8350197727700709
33,0.1,50,5,0.8,,,,,1.605263157894737,0.8327851358985625
34,0.1,50,5,0.9,,,,,1.605263157894737,0.8339087314041805
35,0.1,50,6,0.5,,,,,1.605263157894737,0.8249387985688281
36,0.1,50,6,0.6,,,,,1.605263157894737,0.8305504990270541
37,0.1,50,6,0.7,,,,,1.605263157894737,0.8327914129684264
38,0.1,50,6,0.8,,,,,1.605263157894737,0.8316427091833533
39,0.1,50,6,0.9,,,,,1.605263157894737,0.8395204318624067
40,0.1,50,7,0.5,,,,,1.605263157894737,0.8372544096415793
41,0.1,50,7,0.6,,,,,1.605263157894737,0.8271859895800641
42,0.1,50,7,0.7,,,,,1.605263157894737,0.8350260498399348
43,0.1,50,7,0.8,,,,,1.605263157894737,0.8361496453455527
44,0.1,50,7,0.9,,,,,1.605263157894737,0.8350134957002071
45,0.1,100,5,0.5,,,,,1.605263157894737,0.8283033080158182
46,0.1,100,5,0.6,,,,,1.605263157894737,0.8316678174628084
47,0.1,100,5,0.7,,,,,1.605263157894737,0.833896177264453
48,0.1,100,5,0.8,,,,,1.605263157894737,0.8339024543343168
49,0.1,100,5,0.9,,,,,1.605263157894737,0.8383968363567886
50,0.1,100,6,0.5,,,,,1.605263157894737,0.8271734354403365
51,0.1,100,6,0.6,,,,,1.605263157894737,0.8327914129684263
52,0.1,100,6,0.7,,,,,1.605263157894737,0.8226978846274559
53,0.1,100,6,0.8,,,,,1.605263157894737,0.8305191136777352
54,0.1,100,6,0.9,,,,,1.605263157894737,0.8282907538760906
55,0.1,100,7,0.5,,,,,1.605263157894737,0.8249262444291005
56,0.1,100,7,0.6,,,,,1.605263157894737,0.8350260498399347
57,0.1,100,7,0.7,,,,,1.605263157894737,0.8282970309459544
58,0.1,100,7,0.8,,,,,1.605263157894737,0.8350134957002071
59,0.1,100,7,0.9,,,,,1.605263157894737,0.8316615403929446
60,0.11,50,5,0.5,,,,,1.605263157894737,0.8327851358985625
61,0.11,50,5,0.6,,,,,1.605263157894737,0.8238089259933463
62,0.11,50,5,0.7,,,,,1.605263157894737,0.832772581758835
63,0.11,50,5,0.8,,,,,1.605263157894737,0.8249262444291006
64,0.11,50,5,0.9,,,,,1.605263157894737,0.832772581758835
65,0.11,50,6,0.5,,,,,1.605263157894737,0.8294080723118449
66,0.11,50,6,0.6,,,,,1.605263157894737,0.8271797125102003
67,0.11,50,6,0.7,,,,,1.605263157894737,0.8305191136777352
68,0.11,50,6,0.8,,,,,1.605263157894737,0.831648986253217
69,0.11,50,6,0.9,,,,,1.605263157894737,0.8294269035214362
70,0.11,50,7,0.5,,,,,1.605263157894737,0.8282719226664993
71,0.11,50,7,0.6,,,,,1.605263157894737,0.8282970309459544
72,0.11,50,7,0.7,,,,,1.605263157894737,0.8361308141359614
73,0.11,50,7,0.8,,,,,1.605263157894737,0.8361559224154165
74,0.11,50,7,0.9,,,,,1.605263157894737,0.8395078777226791
75,0.11,100,5,0.5,,,,,1.605263157894737,0.8260372857949909
76,0.11,100,5,0.6,,,,,1.605263157894737,0.8226790534178645
77,0.11,100,5,0.7,,,,,1.605263157894737,0.8260310087251271
78,0.11,100,5,0.8,,,,,1.605263157894737,0.8316615403929446
79,0.11,100,5,0.9,,,,,1.605263157894737,0.8395016006528153
80,0.11,100,6,0.5,,,,,1.605263157894737,0.8226853304877283
81,0.11,100,6,0.6,,,,,1.605263157894737,0.8361621994852803
82,0.11,100,6,0.7,,,,,1.605263157894737,0.831648986253217
83,0.11,100,6,0.8,,,,,1.605263157894737,0.8316427091833533
84,0.11,100,6,0.9,,,,,1.605263157894737,0.8294080723118448
85,0.11,100,7,0.5,,,,,1.605263157894737,0.8249262444291005
86,0.11,100,7,0.6,,,,,1.605263157894737,0.8305567760969179
87,0.11,100,7,0.7,,,,,1.605263157894737,0.8316552633230808
88,0.11,100,7,0.8,,,,,1.605263157894737,0.8271859895800641
89,0.11,100,7,0.9,,,,,1.605263157894737,0.832772581758835
90,0.12,50,5,0.5,,,,,1.605263157894737,0.8316615403929446
91,0.12,50,5,0.6,,,,,1.605263157894737,0.8238026489234825
92,0.12,50,5,0.7,,,,,1.605263157894737,0.8361433682756889
93,0.12,50,5,0.8,,,,,1.605263157894737,0.8260372857949909
94,0.12,50,5,0.9,,,,,1.605263157894737,0.8350511581193899
95,0.12,50,6,0.5,,,,,1.605263157894737,0.8226853304877283
96,0.12,50,6,0.6,,,,,1.605263157894737,0.8294206264515724
97,0.12,50,6,0.7,,,,,1.605263157894737,0.8316552633230808
98,0.12,50,6,0.8,,,,,1.605263157894737,0.8282844768062269
99,0.12,50,6,0.9,,,,,1.605263157894737,0.8395267089322704
100,0.12,50,7,0.5,,,,,1.605263157894737,0.8361496453455527
101,0.12,50,7,0.6,,,,,1.605263157894737,0.8316740945326722
102,0.12,50,7,0.7,,,,,1.605263157894737,0.833896177264453
103,0.12,50,7,0.8,,,,,1.605263157894737,0.8406377502981608
104,0.12,50,7,0.9,,,,,1.605263157894737,0.833896177264453
105,0.12,100,5,0.5,,,,,1.605263157894737,0.818203502604984
106,0.12,100,5,0.6,,,,,1.605263157894737,0.8260435628648547
107,0.12,100,5,0.7,,,,,1.605263157894737,0.8383905592869249
108,0.12,100,5,0.8,,,,,1.605263157894737,0.8271608813006088
109,0.12,100,5,0.9,,,,,1.605263157894737,0.8327788588286987
110,0.12,100,6,0.5,,,,,1.605263157894737,0.8249262444291005
111,0.12,100,6,0.6,,,,,1.605263157894737,0.8294143493817087
112,0.12,100,6,0.7,,,,,1.605263157894737,0.8260498399347185
113,0.12,100,6,0.8,,,,,1.605263157894737,0.8316615403929446
114,0.12,100,6,0.9,,,,,1.605263157894737,0.8361496453455527
115,0.12,100,7,0.5,,,,,1.605263157894737,0.8372857949908983
116,0.12,100,7,0.6,,,,,1.605263157894737,0.8271859895800641
117,0.12,100,7,0.7,,,,,1.605263157894737,0.8294143493817087
118,0.12,100,7,0.8,,,,,1.605263157894737,0.8260372857949909
119,0.12,100,7,0.9,,,,,1.605263157894737,0.824938798568828
120,0.13,50,5,0.5,,,,,1.605263157894737,0.8361433682756889
121,0.13,50,5,0.6,,,,,1.605263157894737,0.8249199673592367
122,0.13,50,5,0.7,,,,,1.605263157894737,0.8372857949908983
123,0.13,50,5,0.8,,,,,1.605263157894737,0.8283033080158182
124,0.13,50,5,0.9,,,,,1.605263157894737,0.8350260498399348
125,0.13,50,6,0.5,,,,,1.605263157894737,0.8395141547925429
126,0.13,50,6,0.6,,,,,1.605263157894737,0.833896177264453
127,0.13,50,6,0.7,,,,,1.605263157894737,0.8316678174628084
128,0.13,50,6,0.8,,,,,1.605263157894737,0.8282719226664993
129,0.13,50,6,0.9,,,,,1.605263157894737,0.8327851358985625
130,0.13,50,7,0.5,,,,,1.605263157894737,0.8361370912058251
131,0.13,50,7,0.6,,,,,1.605263157894737,0.8282907538760906
132,0.13,50,7,0.7,,,,,1.605263157894737,0.8305504990270541
133,0.13,50,7,0.8,,,,,1.605263157894737,0.8316740945326722
134,0.13,50,7,0.9,,,,,1.605263157894737,0.8372732408511707
135,0.13,100,5,0.5,,,,,1.605263157894737,0.8271608813006088
136,0.13,100,5,0.6,,,,,1.605263157894737,0.8339150084740443
